emp_no,first_name,last_name,birth_date,from_date,to_date,title
39177,Zhanqiu,Nooteboom,1962-06-29,1996-10-23,9999-01-01,Senior Staff
39183,Anneke,Khasidashvili,1963-07-24,1990-05-04,9999-01-01,Senior Engineer
39198,Christoper,Zockler,1962-10-08,1985-07-27,9999-01-01,Senior Staff
39202,Kayoko,Zockler,1962-11-14,1990-05-26,9999-01-01,Senior Staff
39213,Alselm,Morrow,1962-08-08,1994-06-05,9999-01-01,Senior Engineer
39223,Monique,Fetvedt,1962-07-25,1985-10-04,9999-01-01,Senior Staff
39233,Zsolt,Impagliazzo,1963-10-06,1993-03-31,9999-01-01,Senior Staff
39250,Somnath,Schlumberger,1962-10-07,1988-01-27,9999-01-01,Senior Staff
39273,Niclas,Benantar,1963-10-19,1988-12-01,9999-01-01,Senior Staff
39277,Feipei,Hasenauer,1962-01-27,1991-07-11,9999-01-01,Senior Engineer
39287,Takahito,Arlazarov,1963-02-22,1989-12-20,9999-01-01,Senior Staff
39299,Xiaoqiang,Quadeer,1964-12-25,1985-06-29,9999-01-01,Senior Engineer
39301,Rimon,Kawashima,1965-01-07,1992-02-06,9999-01-01,Senior Staff
39312,Goh,Cmelik,1963-12-14,1988-02-21,9999-01-01,Senior Staff
39327,Tristan,Suri,1964-06-29,1993-01-08,9999-01-01,Senior Engineer
39329,Yuichiro,Benveniste,1963-03-11,1998-06-23,9999-01-01,Senior Staff
39341,Mahmut,Lampe,1965-01-01,1985-05-11,9999-01-01,Senior Engineer
39343,Prodip,Kossowski,1963-06-03,1986-06-12,9999-01-01,Senior Engineer
39348,Shaleah,Gerlach,1962-12-08,1985-02-26,9999-01-01,Senior Staff
39350,Fumitaka,Chenney,1963-07-13,1999-04-18,9999-01-01,Senior Staff
39378,Kristen,Parhami,1962-11-05,1994-03-27,9999-01-01,Senior Engineer
39389,Mary,Wroclawski,1963-08-02,1986-07-22,9999-01-01,Senior Engineer
39390,Toong,Dalphin,1962-01-04,1990-08-02,9999-01-01,Senior Staff
39404,Susumu,Gide,1963-10-02,1990-08-21,9999-01-01,Senior Engineer
39446,Vishwani,Baik,1964-08-24,1992-08-21,9999-01-01,Senior Engineer
39449,Xiahua,Litzler,1964-04-07,1988-12-15,9999-01-01,Senior Staff
39461,Reinhard,Liesche,1963-08-21,1985-05-04,9999-01-01,Senior Engineer
39467,Behnaam,Msuda,1962-06-12,1986-05-08,9999-01-01,Senior Engineer
39496,Subhankar,Comte,1962-03-01,1994-09-22,9999-01-01,Senior Staff
39521,Sajjad,Garnham,1964-05-24,1994-03-22,9999-01-01,Senior Staff
39540,Leandro,Maginnis,1963-08-14,1986-05-09,9999-01-01,Senior Engineer
39546,Rafael,Terlouw,1962-11-17,1992-07-31,9999-01-01,Senior Engineer
39558,Shichao,Frolund,1964-07-15,1985-09-11,9999-01-01,Senior Engineer
39565,Mircea,Kisuki,1964-06-15,2001-07-15,9999-01-01,Senior Staff
39576,Uri,Edelhoff,1964-11-06,1995-08-28,9999-01-01,Senior Engineer
39578,Florina,Muniz,1963-09-01,1991-07-12,9999-01-01,Senior Engineer
39584,Vincent,Cools,1963-07-28,1999-08-14,9999-01-01,Senior Engineer
39620,Geraldo,Matheson,1962-03-01,1992-11-22,9999-01-01,Senior Staff
39622,Mansur,Dayana,1964-04-17,1995-07-28,9999-01-01,Senior Engineer
39625,JiYoung,Thiran,1964-10-26,1988-05-23,9999-01-01,Senior Engineer
39626,Shigehito,Busillo,1962-04-16,1998-10-08,9999-01-01,Senior Engineer
39632,Xuejun,Oxman,1962-04-01,1992-09-09,9999-01-01,Senior Engineer
39635,Junsik,Keirsey,1963-12-09,1988-03-17,9999-01-01,Senior Engineer
39639,Leen,Fordan,1962-12-07,2000-10-18,9999-01-01,Senior Staff
39660,Goo,Hammerschmidt,1963-09-29,1996-12-20,9999-01-01,Senior Staff
39680,Jagoda,Schrooten,1962-11-23,1990-12-01,9999-01-01,Senior Staff
39681,Aiman,Pulkowski,1962-01-09,1995-08-22,9999-01-01,Senior Staff
39710,Byong,Barbanera,1962-09-18,1995-11-03,9999-01-01,Senior Staff
39714,Kolar,Dehkordi,1963-03-14,1987-04-03,9999-01-01,Senior Engineer
39741,Nalini,Paciorek,1963-11-22,1996-05-12,9999-01-01,Senior Staff
39750,Jingling,Klyachko,1963-02-28,1991-10-25,9999-01-01,Senior Engineer
39763,Sedat,Rattan,1962-01-08,1989-11-06,9999-01-01,Senior Engineer
39764,Woody,Schapire,1962-08-04,1986-09-09,9999-01-01,Senior Staff
39768,Kristen,Serna,1964-04-16,1997-11-21,9999-01-01,Senior Engineer
39776,Steen,Rossi,1964-03-15,1989-12-13,9999-01-01,Senior Staff
39781,Feiyu,Comte,1963-10-05,1994-06-25,9999-01-01,Senior Engineer
39792,Susanne,Bage,1962-03-20,1994-01-28,9999-01-01,Senior Engineer
39828,Youjian,Menyhert,1964-12-15,1992-03-20,9999-01-01,Senior Engineer
39845,Mart,Pavlopoulou,1963-09-16,1991-02-05,9999-01-01,Senior Engineer
39855,Heather,Pagter,1963-04-25,1989-01-14,9999-01-01,Senior Engineer
39862,Shmuel,Narahara,1962-02-20,1991-04-14,9999-01-01,Senior Staff
39874,Hinrich,Herath,1962-04-15,1991-03-26,9999-01-01,Senior Staff
39894,Shietung,Improta,1963-05-15,1990-08-27,9999-01-01,Senior Engineer
39899,Danil,Decleir,1963-09-19,1990-02-07,9999-01-01,Senior Engineer
39907,Avishai,Akiyama,1962-01-24,1987-07-04,9999-01-01,Senior Engineer
39921,Yucai,Collavizza,1963-05-10,1993-01-22,9999-01-01,Senior Engineer
39922,Duangkaew,Frijda,1962-09-16,1988-09-19,9999-01-01,Senior Engineer
39948,Gino,Rotem,1964-01-16,1986-12-31,9999-01-01,Senior Staff
39956,Haldun,Monkewich,1964-06-27,1985-05-29,9999-01-01,Senior Engineer
39964,Almudena,Dratva,1963-05-08,1991-04-06,9999-01-01,Senior Staff
39965,Yagil,Weedman,1964-12-26,1987-06-29,9999-01-01,Senior Staff
39977,Xumin,Renear,1962-06-01,1990-01-22,9999-01-01,Senior Engineer
40020,Aria,Perng,1964-03-02,1987-02-13,9999-01-01,Senior Engineer
40064,Koichi,Holburn,1963-11-14,1991-02-06,9999-01-01,Senior Staff
40065,Randy,Reutenauer,1964-09-19,1995-05-07,9999-01-01,Senior Engineer
40074,Gio,Speek,1962-08-19,1998-01-11,9999-01-01,Senior Engineer
40079,Shahid,Peltason,1962-11-03,1995-03-19,9999-01-01,Senior Engineer
40099,Radhakrishnan,Smailagic,1964-04-05,1987-11-09,9999-01-01,Senior Staff
40115,Mingdong,Underwood,1963-08-21,1991-10-05,9999-01-01,Senior Engineer
40125,Diederik,Warwick,1964-05-14,1993-09-02,9999-01-01,Senior Engineer
40140,Sachin,Pesch,1963-11-01,1991-12-16,9999-01-01,Senior Staff
40143,Babette,Tsukune,1963-03-28,1996-08-14,9999-01-01,Senior Staff
40190,Giao,Baek,1964-08-02,1999-06-10,9999-01-01,Senior Engineer
40202,Ingmar,Nastansky,1962-12-26,1995-09-06,9999-01-01,Senior Engineer
40207,Weiye,Muhling,1963-03-02,1989-07-27,9999-01-01,Senior Engineer
40215,Chuanti,Erbe,1963-12-05,1990-03-20,9999-01-01,Senior Engineer
40236,Kerryn,Vecchio,1963-07-26,1987-08-11,9999-01-01,Senior Staff
40278,Sandeepan,Ligten,1963-05-27,1985-04-06,9999-01-01,Senior Engineer
40283,Sudhanshu,Boissier,1965-01-07,1985-05-11,9999-01-01,Senior Engineer
40295,Marsja,Vernadat,1962-04-24,1986-12-27,9999-01-01,Senior Staff
40299,Uwe,Minakawa,1964-12-10,1997-08-20,9999-01-01,Senior Engineer
40301,Spyrose,Felder,1965-01-20,1997-10-20,9999-01-01,Senior Engineer
40339,Aleksandar,Lammel,1964-11-22,1995-05-18,9999-01-01,Senior Staff
40370,Ioana,Dulli,1962-04-29,1988-08-12,9999-01-01,Senior Engineer
40385,Phuoc,Gulak,1962-06-08,1998-06-12,9999-01-01,Senior Engineer
40386,Parto,Chiola,1962-05-16,1992-08-26,9999-01-01,Senior Engineer
40411,Ute,Stifter,1963-06-22,1989-07-26,9999-01-01,Senior Staff
40445,Gererd,Nishimukai,1962-09-24,1996-12-03,9999-01-01,Senior Engineer
40448,Marjo,Wynblatt,1964-09-13,1989-08-08,9999-01-01,Senior Engineer
40457,Kazuhiro,Matheson,1962-02-06,1990-03-16,9999-01-01,Senior Engineer
40460,Koichi,Gulak,1962-05-15,1988-05-27,9999-01-01,Senior Staff
40470,Fan,Broomell,1964-05-09,1996-08-26,9999-01-01,Senior Engineer
40492,Sverrir,Waterhouse,1963-12-25,1989-07-25,9999-01-01,Senior Staff
40496,Kyoichi,Argence,1963-06-09,1987-12-03,9999-01-01,Senior Engineer
40525,Dannz,Huhdanpaa,1963-10-10,1986-11-06,9999-01-01,Senior Engineer
40536,Harngdar,Bernardinello,1965-01-20,1988-02-29,9999-01-01,Senior Engineer
40537,Hironobu,Yurov,1962-12-28,1988-11-30,9999-01-01,Senior Staff
40544,Masamitsu,Lortz,1963-12-24,1991-04-11,9999-01-01,Senior Engineer
40545,Ortrun,Remmele,1964-12-30,1985-05-05,9999-01-01,Senior Engineer
40546,Prasadram,Edelhoff,1962-05-13,1988-07-25,9999-01-01,Senior Engineer
40557,Arfst,Asrin,1963-11-26,1987-11-20,9999-01-01,Senior Staff
40558,Barun,Poulakidas,1964-02-18,1988-12-10,9999-01-01,Senior Engineer
40579,Fumino,Himler,1963-01-01,1998-09-18,9999-01-01,Senior Engineer
40582,Bedrich,Siksek,1964-01-02,1999-01-14,9999-01-01,Senior Staff
40605,Peer,Nooteboom,1963-08-22,1996-11-09,9999-01-01,Senior Engineer
40625,Jaroslava,Jahnichen,1964-11-30,1994-06-17,9999-01-01,Senior Staff
40637,Marjo,Luiz,1962-08-29,1996-08-11,9999-01-01,Senior Staff
40638,Jagoda,Pouyioutas,1962-10-12,1991-01-24,9999-01-01,Senior Engineer
40677,Kankanahalli,Mitina,1962-12-13,1993-01-02,9999-01-01,Senior Engineer
40689,Ortrun,Leppanen,1962-06-06,1993-09-26,9999-01-01,Senior Staff
40692,Masato,Rande,1964-09-18,1990-01-20,9999-01-01,Senior Staff
40713,Zhonghui,Brlek,1964-08-01,1986-04-29,9999-01-01,Senior Engineer
40727,Hisao,Ishibashi,1963-01-14,1991-11-28,9999-01-01,Senior Staff
40734,Baoqiu,Perko,1964-12-17,1994-10-08,9999-01-01,Senior Staff
40757,Christ,Fadgyas,1963-09-14,1992-08-09,9999-01-01,Senior Staff
40761,Serge,Beeson,1963-12-28,1991-04-09,9999-01-01,Senior Staff
40821,Genevieve,Herath,1964-06-03,1985-08-08,9999-01-01,Senior Staff
40828,Aamod,Usery,1964-11-21,1989-11-03,9999-01-01,Senior Engineer
40831,Morrie,Encarnacion,1963-05-03,1987-07-03,9999-01-01,Senior Staff
40837,Mayuri,Merey,1962-11-29,1995-04-16,9999-01-01,Senior Staff
40850,Selwyn,Kampfer,1962-03-15,1993-07-18,9999-01-01,Senior Engineer
40873,Arie,Ghalwash,1964-08-23,1997-04-08,9999-01-01,Senior Engineer
40874,Takushi,Luff,1963-07-13,1992-01-09,9999-01-01,Senior Staff
40877,Bedrich,Esposito,1964-08-20,1991-04-16,9999-01-01,Senior Staff
40884,Youpyo,Melton,1962-08-03,1997-07-25,9999-01-01,Senior Engineer
40888,Changho,Laurillard,1964-06-05,1998-03-31,9999-01-01,Senior Engineer
40894,Rasikan,Antonakopoulos,1963-08-11,1985-02-25,9999-01-01,Senior Engineer
40908,Hidde,Acton,1963-09-14,1986-08-10,9999-01-01,Senior Engineer
40919,Dante,Armand,1963-05-03,1996-08-06,9999-01-01,Senior Staff
40941,Hatim,Koblick,1964-06-19,1995-03-14,9999-01-01,Senior Engineer
40945,Fox,Krzyzanowski,1962-04-02,1995-05-14,9999-01-01,Senior Staff
40986,Deborah,Schaar,1963-01-22,1996-11-19,9999-01-01,Senior Staff
40988,Kwun,Zaccaria,1963-05-05,1985-12-22,9999-01-01,Senior Engineer
40992,Rosita,Segond,1962-06-06,1993-05-10,9999-01-01,Senior Engineer
40999,Zvonko,Cmelik,1963-08-12,1995-07-06,9999-01-01,Senior Staff
41010,Kristian,Sudbeck,1963-11-12,1989-04-08,9999-01-01,Senior Engineer
41017,Shigenori,Litzler,1962-07-30,1992-03-03,9999-01-01,Senior Engineer
41023,Joydip,Georgakopoulos,1964-10-29,1993-06-03,9999-01-01,Senior Engineer
41028,Augustine,Miara,1964-05-25,2001-11-22,9999-01-01,Senior Staff
41035,Radhika,Morton,1962-12-11,1989-01-17,9999-01-01,Senior Engineer
41052,Dannz,Heusch,1962-06-08,1991-05-08,9999-01-01,Senior Engineer
41058,Sanjai,Czap,1963-04-13,1994-08-23,9999-01-01,Senior Engineer
41060,Alagu,Wallrath,1962-12-30,1996-06-17,9999-01-01,Senior Staff
41070,Giap,Waterhouse,1964-08-16,1992-08-28,9999-01-01,Senior Engineer
41104,Mircea,Demian,1962-09-22,1991-01-22,9999-01-01,Senior Staff
41105,Arup,Carrere,1963-05-09,1986-06-09,9999-01-01,Senior Staff
41125,Yahiko,Cyne,1962-10-31,1992-08-28,9999-01-01,Senior Engineer
41133,Garnet,Chvatal,1962-02-25,1985-11-19,9999-01-01,Senior Engineer
41136,Jeane,Ramsay,1962-06-01,1985-05-09,9999-01-01,Senior Engineer
41148,Gritta,Cherinka,1962-01-13,1991-07-22,9999-01-01,Senior Engineer
41161,Ebbe,Speek,1963-12-12,1991-08-14,9999-01-01,Senior Staff
41164,Anyuan,Tibblin,1963-08-04,1986-07-25,9999-01-01,Senior Engineer
41182,Khalid,Leppanen,1964-04-05,1991-05-28,9999-01-01,Senior Staff
41222,Alejandro,Papastamatiou,1964-01-06,1998-09-18,9999-01-01,Senior Engineer
41271,Christoper,Kroll,1964-01-26,1991-09-29,9999-01-01,Senior Engineer
41295,Marlo,Maginnis,1962-11-29,1994-11-02,9999-01-01,Senior Staff
41303,Gil,Junot,1963-05-13,1997-11-03,9999-01-01,Senior Engineer
41307,Marke,Hasham,1963-10-04,1986-02-11,9999-01-01,Senior Staff
41308,Munehiko,Rathonyi,1963-10-01,1986-03-02,9999-01-01,Senior Staff
41329,Bodh,Rodite,1963-09-29,1994-10-01,9999-01-01,Senior Staff
41333,Barna,Vilarrasa,1964-04-06,1990-07-27,9999-01-01,Senior Staff
41337,Kiyokazu,Copas,1962-11-06,1986-08-24,9999-01-01,Senior Staff
41340,Herbert,Bharadwaj,1964-08-16,1987-01-27,9999-01-01,Senior Staff
41352,Douadi,Demeyer,1963-08-14,1986-12-05,9999-01-01,Senior Engineer
41355,Rosalie,Codenie,1963-07-03,1994-10-08,9999-01-01,Senior Engineer
41361,Jinya,Einsfeld,1964-05-15,1994-06-02,9999-01-01,Senior Engineer
41380,Gen,Muntz,1962-03-15,1991-06-23,9999-01-01,Senior Staff
41418,Jacqueline,Masada,1963-01-12,1993-01-07,9999-01-01,Senior Engineer
41421,Lidong,Cardazo,1963-11-10,1997-06-03,9999-01-01,Senior Staff
41424,Saniya,Lakshmanan,1964-02-02,1987-09-21,9999-01-01,Senior Engineer
41446,Ramya,Dulay,1962-08-14,1997-08-18,9999-01-01,Senior Engineer
41450,Djenana,Sury,1963-08-27,1997-10-22,9999-01-01,Senior Staff
41452,Uwe,Selenyi,1964-09-16,1989-07-28,9999-01-01,Senior Staff
41456,Eirik,VanScheik,1964-04-20,1995-05-09,9999-01-01,Senior Engineer
41458,Niteen,Raney,1964-10-06,1989-04-10,9999-01-01,Senior Staff
41459,Gretta,Orlowski,1963-06-05,1987-10-30,9999-01-01,Senior Staff
41473,Ohad,Angelov,1963-08-30,2000-07-28,9999-01-01,Senior Engineer
41474,Hidde,Barbanera,1964-10-03,1995-03-27,9999-01-01,Senior Staff
41479,Danco,Lupu,1963-01-21,1985-11-07,9999-01-01,Senior Engineer
41506,Reinhold,Montemayor,1963-11-11,1987-12-09,9999-01-01,Senior Staff
41512,George,Keirsey,1963-09-11,1993-03-11,9999-01-01,Senior Engineer
41518,Keung,Schapiro,1965-01-11,2001-02-08,9999-01-01,Senior Engineer
41520,Xiong,Uhrik,1965-01-20,1988-03-21,9999-01-01,Senior Engineer
41522,Rasikan,Madeira,1964-11-13,1995-02-17,9999-01-01,Senior Staff
41537,Stella,Budinsky,1964-05-07,1990-12-11,9999-01-01,Senior Staff
41550,Mizuhito,Gladwell,1964-02-22,1988-01-09,9999-01-01,Senior Staff
41569,Claudi,Baumann,1964-02-15,1990-11-19,9999-01-01,Senior Engineer
41570,Shaunak,Poupard,1964-07-07,1993-04-06,9999-01-01,Senior Staff
41594,Yonghoan,Remmers,1964-07-18,1992-07-27,9999-01-01,Senior Staff
41595,Sham,Mayerwieser,1964-05-09,1992-10-10,9999-01-01,Senior Engineer
41600,Adly,Vigier,1963-09-13,1994-11-19,9999-01-01,Senior Staff
41601,Kazuhito,Kitsuregawa,1964-10-05,1997-10-17,9999-01-01,Senior Staff
41602,Evgueni,Perl,1964-06-10,1992-07-09,9999-01-01,Senior Staff
41609,Yucai,Simmen,1965-01-04,1987-10-13,9999-01-01,Senior Staff
41614,Barun,Yamaashi,1962-03-27,1999-07-10,9999-01-01,Senior Engineer
41616,Nevin,Minakawa,1964-04-14,1989-07-22,9999-01-01,Senior Engineer
41617,Rosella,Chaudhuri,1962-06-20,1991-12-23,9999-01-01,Senior Staff
41631,Mizuhito,Bernatsky,1963-02-09,1994-02-16,9999-01-01,Senior Engineer
41670,Syozo,Pettey,1964-07-13,1988-03-20,9999-01-01,Senior Staff
41684,Yakkov,Parascandalo,1963-04-12,1985-05-10,9999-01-01,Senior Staff
41689,Nobuyoshi,Whittlesey,1963-06-03,1987-03-13,9999-01-01,Senior Engineer
41694,Greger,Vingron,1962-08-22,1992-06-27,9999-01-01,Senior Engineer
41711,Denny,Gurbaxani,1962-04-26,1996-11-20,9999-01-01,Senior Staff
41713,Jeanna,Aumann,1962-08-25,1986-05-22,9999-01-01,Senior Staff
41721,Abdelwaheb,Setia,1963-09-08,1988-10-04,9999-01-01,Senior Engineer
41730,Mohamadou,Rosen,1962-09-30,1994-04-10,9999-01-01,Senior Staff
41771,Ramachenga,Karcich,1962-09-05,1990-11-27,9999-01-01,Senior Staff
41780,Ebru,Gurbaxani,1963-02-07,1990-11-03,9999-01-01,Senior Staff
41782,Fayez,Brizzi,1963-07-06,1997-07-10,9999-01-01,Senior Engineer
41816,Gila,Pettit,1962-12-15,1987-10-10,9999-01-01,Senior Staff
41821,Owen,Shanbhogue,1962-07-14,1989-05-15,9999-01-01,Senior Staff
41827,Parke,Constantine,1963-02-01,1985-07-31,9999-01-01,Senior Engineer
41834,Emran,Castellani,1964-03-05,1996-07-14,9999-01-01,Senior Engineer
41839,Tsvetan,Kilgour,1963-12-27,1987-09-18,9999-01-01,Senior Engineer
41884,Marek,Kavanagh,1962-01-21,1999-03-19,9999-01-01,Senior Staff
41898,Yannis,Stranks,1962-03-29,1991-06-07,9999-01-01,Senior Staff
41900,Xinglin,Ossenbruggen,1963-12-28,1990-06-16,9999-01-01,Senior Engineer
41946,Shaowei,Naudin,1964-07-17,1998-11-21,9999-01-01,Senior Engineer
41992,Candida,Hatcliff,1964-05-01,1997-06-26,9999-01-01,Senior Staff
42003,Jianhua,Pfau,1964-06-29,1993-06-09,9999-01-01,Senior Engineer
42012,Gina,Eterovic,1963-03-14,1994-02-03,9999-01-01,Senior Engineer
42018,Val,Langford,1964-08-03,1996-10-28,9999-01-01,Senior Engineer
42030,Arto,Chelton,1963-12-08,1987-10-20,9999-01-01,Senior Staff
42041,Jaroslava,Lalonde,1964-08-22,1996-06-23,9999-01-01,Senior Engineer
42043,Franziska,Daescu,1964-05-01,2002-02-05,9999-01-01,Senior Engineer
42050,Hideo,Chinen,1962-03-15,1992-10-18,9999-01-01,Senior Engineer
42054,Feipei,Bierman,1963-02-16,1986-05-27,9999-01-01,Senior Engineer
42065,Dipankar,Rabejac,1964-12-30,1990-07-17,9999-01-01,Senior Engineer
42067,Naftali,Kaminger,1962-09-25,1991-09-30,9999-01-01,Senior Staff
42081,Xiaocheng,Bellmore,1962-01-08,1986-09-11,9999-01-01,Senior Staff
42086,Dines,Parfitt,1962-10-29,1998-02-11,9999-01-01,Senior Staff
42117,Palash,Ladret,1963-01-25,1985-11-28,9999-01-01,Senior Staff
42130,Pramod,Ashish,1964-10-07,1995-12-26,9999-01-01,Senior Engineer
42133,Yagil,Hockney,1962-12-16,1988-03-04,9999-01-01,Senior Engineer
42134,Zhongwei,Schaar,1964-03-03,1985-06-03,9999-01-01,Senior Engineer
42137,Taiji,Chimia,1962-05-10,1987-05-15,9999-01-01,Senior Staff
42164,Mats,Bael,1964-06-03,1985-03-27,9999-01-01,Senior Engineer
42178,Shir,Cummings,1963-06-19,1989-09-09,9999-01-01,Senior Engineer
42222,Aemilian,Bamford,1963-07-09,1988-10-26,9999-01-01,Senior Engineer
42226,Somnath,Zyda,1964-09-04,1998-03-02,9999-01-01,Senior Staff
42231,Adil,Luft,1964-09-04,1991-12-25,9999-01-01,Senior Engineer
42257,Kwee,Koblick,1963-02-12,1991-02-18,9999-01-01,Senior Engineer
42282,Kazuhiko,Naumovich,1963-05-31,1987-06-29,9999-01-01,Senior Staff
42303,Utz,Heping,1962-02-11,1985-07-14,9999-01-01,Senior Staff
42316,Nevin,Passino,1963-08-24,1996-04-28,9999-01-01,Senior Staff
42321,Pranav,Perri,1962-05-11,1992-09-11,9999-01-01,Senior Staff
42329,Sahrah,Beerel,1964-01-30,1998-08-05,9999-01-01,Senior Engineer
42334,Gaurav,Delaune,1962-08-12,2000-06-20,9999-01-01,Senior Staff
42338,Masamitsu,Bael,1964-12-24,1989-10-20,9999-01-01,Senior Engineer
42349,Mizuhito,Conte,1962-12-23,1989-06-27,9999-01-01,Senior Engineer
42350,Christoper,Hofmeyr,1964-08-10,1986-03-31,9999-01-01,Senior Staff
42356,Shao,Merel,1964-09-28,1992-09-19,9999-01-01,Senior Engineer
42357,Sachio,Passino,1963-02-13,1992-11-12,9999-01-01,Senior Engineer
42374,Fei,Zlotek,1964-07-23,1993-05-02,9999-01-01,Senior Staff
42381,Danai,Trelles,1962-08-04,1993-03-18,9999-01-01,Senior Staff
42383,Margo,Kaiser,1963-08-15,1995-02-04,9999-01-01,Senior Engineer
42388,Larisa,Babb,1962-07-02,1993-12-24,9999-01-01,Senior Staff
42390,Boalin,Parveen,1963-11-29,1994-08-14,9999-01-01,Senior Engineer
42395,Conrado,Schauser,1963-09-26,1988-01-28,9999-01-01,Senior Staff
42409,Hailing,Nitto,1964-02-26,1992-08-15,9999-01-01,Senior Staff
42416,Susanta,Syang,1962-09-13,1989-04-11,9999-01-01,Senior Staff
42427,Dzung,Mapelli,1962-05-06,1989-09-05,9999-01-01,Senior Staff
42455,Ziyad,Paciorek,1962-09-02,1987-09-20,9999-01-01,Senior Engineer
42456,Kenton,Antonakopoulos,1963-11-18,1989-10-26,9999-01-01,Senior Staff
42462,Zongyan,Dengi,1963-05-09,1993-05-06,9999-01-01,Senior Engineer
42475,Sachio,Leslie,1962-08-08,1999-10-27,9999-01-01,Senior Engineer
42492,Zita,Chenney,1964-02-15,1993-01-19,9999-01-01,Senior Staff
42497,Eran,Talmor,1962-10-13,1985-12-08,9999-01-01,Senior Staff
42503,Pranav,Skogmar,1963-11-05,1985-03-26,9999-01-01,Senior Staff
42525,Lena,Papadias,1962-05-14,1995-01-14,9999-01-01,Senior Engineer
42539,Martial,Swist,1964-07-02,1985-10-09,9999-01-01,Senior Engineer
42542,Xiaopeng,Taubenfeld,1962-04-08,1998-06-13,9999-01-01,Senior Engineer
42558,Mingzeng,Bodoff,1962-09-03,1986-09-09,9999-01-01,Senior Engineer
42563,Nechama,Baar,1962-05-05,1999-03-04,9999-01-01,Senior Staff
42577,Lalit,Moehrke,1962-06-07,1991-07-16,9999-01-01,Senior Engineer
42585,Petter,Besancenot,1962-01-17,1987-04-03,9999-01-01,Senior Staff
42604,Panayotis,Miake,1963-09-07,1992-04-16,9999-01-01,Senior Staff
42610,Chenyi,Swist,1964-04-02,1999-01-29,9999-01-01,Senior Engineer
42644,Yuichiro,Cappelletti,1964-06-21,1993-08-09,9999-01-01,Senior Engineer
42664,Jongsuk,Cooke,1963-05-04,1997-09-28,9999-01-01,Senior Engineer
42703,Zissis,Schrift,1963-01-12,1993-02-19,9999-01-01,Senior Staff
42710,Nakhoon,Veldwijk,1963-07-23,1988-02-23,9999-01-01,Senior Engineer
42722,Hatem,Nitsche,1962-03-08,1989-06-18,9999-01-01,Senior Staff
42730,Matt,Benantar,1963-08-27,1986-04-11,9999-01-01,Senior Engineer
42738,Stein,Bouloucos,1962-06-16,1989-01-20,9999-01-01,Senior Engineer
42767,Yongqiao,Ecklund,1964-07-17,1990-01-05,9999-01-01,Senior Staff
42777,Christfried,Improta,1962-09-02,1989-11-13,9999-01-01,Senior Staff
42778,Shuji,Remmers,1965-01-19,1987-12-18,9999-01-01,Senior Staff
42791,Bedrich,Nicolson,1962-11-29,1999-05-22,9999-01-01,Senior Staff
42792,Elvia,Molberg,1963-08-30,1988-04-16,9999-01-01,Senior Engineer
42810,Oscal,Rehfuss,1962-02-12,2002-06-09,9999-01-01,Senior Engineer
42853,Vishv,Malabarba,1964-02-22,1994-02-05,9999-01-01,Senior Engineer
42923,Gro,Magalhaes,1963-08-21,1989-11-12,9999-01-01,Senior Engineer
42937,Sreenivas,Monarch,1964-07-25,1994-03-10,9999-01-01,Senior Engineer
42950,Shaleah,Eickenmeyer,1965-01-22,1993-10-09,9999-01-01,Senior Staff
42952,Xiaobin,Horswill,1962-07-30,1992-06-18,9999-01-01,Senior Engineer
42962,Arun,Encarnacion,1964-10-13,1993-02-07,9999-01-01,Senior Engineer
42965,Danae,Furudate,1963-01-16,1986-10-01,9999-01-01,Senior Engineer
42974,Mark,Brookman,1962-07-27,1991-07-02,9999-01-01,Senior Staff
42977,Mountaz,Schaar,1964-04-21,1997-06-17,9999-01-01,Senior Staff
42995,Arunachalam,Yemenis,1962-03-19,1988-06-16,9999-01-01,Senior Engineer
43000,Pranay,Smeets,1964-03-06,1987-02-17,9999-01-01,Senior Staff
43001,Val,Bennet,1964-02-12,1988-12-10,9999-01-01,Senior Engineer
43003,Shaleah,Picco,1962-06-21,1990-05-31,9999-01-01,Senior Engineer
43010,Alselm,Tramer,1964-02-21,1994-09-04,9999-01-01,Senior Staff
43031,Marek,Grabner,1962-10-07,1992-05-31,9999-01-01,Senior Engineer
43037,Ennio,Champarnaud,1963-08-03,1995-04-23,9999-01-01,Senior Staff
43048,Menkae,Zucker,1963-03-16,1994-07-30,9999-01-01,Senior Engineer
43070,Oksana,Attimonelli,1964-12-12,1992-06-28,9999-01-01,Senior Staff
43105,Masami,Gadepally,1964-06-15,1995-08-15,9999-01-01,Senior Engineer
43106,Shen,Ermel,1962-02-12,1998-06-24,9999-01-01,Senior Engineer
43130,Kamakshi,Kugler,1964-08-08,1996-11-08,9999-01-01,Senior Engineer
43151,Alexius,Perin,1964-12-30,1995-03-19,9999-01-01,Senior Engineer
43152,Leif,Junet,1964-09-15,1986-09-02,9999-01-01,Senior Engineer
43154,Maha,Waterhouse,1965-01-13,1997-07-04,9999-01-01,Senior Staff
43155,Mohit,Beetstra,1964-02-29,1995-06-19,9999-01-01,Senior Engineer
43173,Venkatesan,Molenkamp,1962-08-12,1995-03-23,9999-01-01,Senior Staff
43176,Karsten,Lorin,1962-07-24,1995-10-06,9999-01-01,Senior Staff
43187,Ult,Brookner,1963-09-04,1986-04-13,9999-01-01,Senior Engineer
